time,w1.volume m3,w2.volume m3
2012-01-01 01:00:00,0.9592,0.0408
2012-01-01 02:00:00,0.9200,0.0800
2012-01-01 03:00:00,0.8825,0.1175
2012-01-01 04:00:00,0.8465,0.1535
2012-01-01 05:00:00,0.8119,0.1881
2012-01-01 06:00:00,0.7788,0.2212
2012-01-01 07:00:00,0.7470,0.2530
2012-01-01 08:00:00,0.7165,0.2835
2012-01-01 09:00:00,0.6873,0.3127
2012-01-01 10:00:00,0.6592,0.3408
2012-01-01 11:00:00,0.6323,0.3677
2012-01-01 12:00:00,0.6065,0.3935
2012-01-01 13:00:00,0.5818,0.4182
2012-01-01 14:00:00,0.5580,0.4420
2012-01-01 15:00:00,0.5353,0.4647
2012-01-01 16:00:00,0.5134,0.4866
2012-01-01 17:00:00,0.4925,0.5075
2012-01-01 18:00:00,0.4724,0.5276
2012-01-01 19:00:00,0.4531,0.5469
2012-01-01 20:00:00,0.4346,0.5654
2012-01-01 21:00:00,0.4169,0.5831
2012-01-01 22:00:00,0.3998,0.6002
2012-01-01 23:00:00,0.3835,0.6165
2012-01-02 00:00:00,0.3679,0.6321
2012-01-02 01:00:00,0.3529,0.6471
2012-01-02 02:00:00,0.3385,0.6615
2012-01-02 03:00:00,0.3247,0.6753
2012-01-02 04:00:00,0.3114,0.6886
2012-01-02 05:00:00,0.2987,0.7013
2012-01-02 06:00:00,0.2865,0.7135
2012-01-02 07:00:00,0.2748,0.7252
2012-01-02 08:00:00,0.2636,0.7364
2012-01-02 09:00:00,0.2528,0.7472
2012-01-02 10:00:00,0.2425,0.7575
2012-01-02 11:00:00,0.2326,0.7674
2012-01-02 12:00:00,0.2231,0.7769
2012-01-02 13:00:00,0.2140,0.7860
2012-01-02 14:00:00,0.2053,0.7947
2012-01-02 15:00:00,0.1969,0.8031
2012-01-02 16:00:00,0.1889,0.8111
2012-01-02 17:00:00,0.1812,0.8188
2012-01-02 18:00:00,0.1738,0.8262
2012-01-02 19:00:00,0.1667,0.8333
2012-01-02 20:00:00,0.1599,0.8401
2012-01-02 21:00:00,0.1534,0.8466
2012-01-02 22:00:00,0.1471,0.8529
2012-01-02 23:00:00,0.1411,0.8589
2012-01-03 00:00:00,0.1353,0.8647
2012-01-03 01:00:00,0.1298,0.8702
2012-01-03 02:00:00,0.1245,0.8755
2012-01-03 03:00:00,0.1194,0.8806
2012-01-03 04:00:00,0.1146,0.8854
2012-01-03 05:00:00,0.1099,0.8901
2012-01-03 06:00:00,0.1054,0.8946
2012-01-03 07:00:00,0.1011,0.8989
2012-01-03 08:00:00,0.0970,0.9030
2012-01-03 09:00:00,0.0930,0.9070
2012-01-03 10:00:00,0.0892,0.9108
2012-01-03 11:00:00,0.0856,0.9144
2012-01-03 12:00:00,0.0821,0.9179
2012-01-03 13:00:00,0.0787,0.9213
2012-01-03 14:00:00,0.0755,0.9245
2012-01-03 15:00:00,0.0724,0.9276
2012-01-03 16:00:00,0.0695,0.9305
2012-01-03 17:00:00,0.0666,0.9334
2012-01-03 18:00:00,0.0639,0.9361
2012-01-03 19:00:00,0.0613,0.9387
2012-01-03 20:00:00,0.0588,0.9412
2012-01-03 21:00:00,0.0564,0.9436
2012-01-03 22:00:00,0.0541,0.9459
2012-01-03 23:00:00,0.0519,0.9481
2012-01-04 00:00:00,0.0498,0.9502
2012-01-04 01:00:00,0.0478,0.9522
2012-01-04 02:00:00,0.0458,0.9542
2012-01-04 03:00:00,0.0439,0.9561
2012-01-04 04:00:00,0.0421,0.9579
2012-01-04 05:00:00,0.0404,0.9596
2012-01-04 06:00:00,0.0388,0.9612
2012-01-04 07:00:00,0.0372,0.9628
2012-01-04 08:00:00,0.0357,0.9643
2012-01-04 09:00:00,0.0342,0.9658
2012-01-04 10:00:00,0.0328,0.9672
2012-01-04 11:00:00,0.0315,0.9685
2012-01-04 12:00:00,0.0302,0.9698
2012-01-04 13:00:00,0.0290,0.9710
2012-01-04 14:00:00,0.0278,0.9722
2012-01-04 15:00:00,0.0266,0.9734
2012-01-04 16:00:00,0.0256,0.9744
2012-01-04 17:00:00,0.0245,0.9755
2012-01-04 18:00:00,0.0235,0.9765
2012-01-04 19:00:00,0.0226,0.9774
2012-01-04 20:00:00,0.0216,0.9784
2012-01-04 21:00:00,0.0208,0.9792
2012-01-04 22:00:00,0.0199,0.9801
2012-01-04 23:00:00,0.0191,0.9809
2012-01-05 00:00:00,0.0183,0.9817
2012-01-05 01:00:00,0.0176,0.9824
2012-01-05 02:00:00,0.0169,0.9831
2012-01-05 03:00:00,0.0162,0.9838
2012-01-05 04:00:00,0.0155,0.9845
2012-01-05 05:00:00,0.0149,0.9851
2012-01-05 06:00:00,0.0143,0.9857
2012-01-05 07:00:00,0.0137,0.9863
2012-01-05 08:00:00,0.0131,0.9869
2012-01-05 09:00:00,0.0126,0.9874
2012-01-05 10:00:00,0.0121,0.9879
2012-01-05 11:00:00,0.0116,0.9884
2012-01-05 12:00:00,0.0111,0.9889
2012-01-05 13:00:00,0.0107,0.9893
2012-01-05 14:00:00,0.0102,0.9898
2012-01-05 15:00:00,0.0098,0.9902
2012-01-05 16:00:00,0.0094,0.9906
2012-01-05 17:00:00,0.0090,0.9910
2012-01-05 18:00:00,0.0087,0.9913
2012-01-05 19:00:00,0.0083,0.9917
2012-01-05 20:00:00,0.0080,0.9920
2012-01-05 21:00:00,0.0076,0.9924
2012-01-05 22:00:00,0.0073,0.9927
2012-01-05 23:00:00,0.0070,0.9930
2012-01-06 00:00:00,0.0067,0.9933
2012-01-06 01:00:00,0.0065,0.9935
2012-01-06 02:00:00,0.0062,0.9938
2012-01-06 03:00:00,0.0059,0.9941
2012-01-06 04:00:00,0.0057,0.9943
2012-01-06 05:00:00,0.0055,0.9945
2012-01-06 06:00:00,0.0052,0.9948
2012-01-06 07:00:00,0.0050,0.9950
2012-01-06 08:00:00,0.0048,0.9952
2012-01-06 09:00:00,0.0046,0.9954
2012-01-06 10:00:00,0.0044,0.9956
2012-01-06 11:00:00,0.0043,0.9957
2012-01-06 12:00:00,0.0041,0.9959
2012-01-06 13:00:00,0.0039,0.9961
2012-01-06 14:00:00,0.0038,0.9962
2012-01-06 15:00:00,0.0036,0.9964
2012-01-06 16:00:00,0.0035,0.9965
2012-01-06 17:00:00,0.0033,0.9967
2012-01-06 18:00:00,0.0032,0.9968
2012-01-06 19:00:00,0.0031,0.9969
2012-01-06 20:00:00,0.0029,0.9971
2012-01-06 21:00:00,0.0028,0.9972
2012-01-06 22:00:00,0.0027,0.9973
2012-01-06 23:00:00,0.0026,0.9974
2012-01-07 00:00:00,0.0025,0.9975
